Designator,Mid X,Mid Y,Rotation,Layer
R72,76.696,88.4134,0.0,top
R73,72.696,87.3924,0.0,top
R74,72.696,88.4134,0.0,top
R75,20.722,55.5242,180.0,top
R76,19.702,56.6418,180.0,top
R77,54.904,64.8,180.0,top
R78,54.975,60.1,270.0,top
R79,38.0834,24.5616,0.0,top
R8,39.7598,8.2548,180.0,top
R80,65.3518,31.3608,0.0,top
R81,65.3518,32.4276,0.0,top
R82,64.0818,39.7428,0.0,top
R83,64.0818,40.9688,0.0,top
R84,83.1424,62.986,90.0,top
R85,82.1174,62.986,90.0,top
R86,81.0924,62.986,90.0,top
R87,73.7064,71.0722,0.0,top
R88,73.7064,70.0222,0.0,top
R89,39.2,11.2,0.0,top
R9,29.711,7.5,0.0,top
R90,39.2,10.15,0.0,top
R91,71.2924,66.171,180.0,top
R93,59.26,22.9058,180.0,top
R94,55.335,21.125,180.0,top
R95,66.6492,47.3902,0.0,top
R96,9.6942,16.6316,90.0,top
R97,8.5,16.3751,270.0,top
R98,12.375,7.924601,0.0,top
R99,14.84,3.19,90.0,top
RV1,5.0,70.15,270.0,top
RV2,5.0,61.1,270.0,top
RV3,95.0,70.15,90.0,top
RV4,95.0,61.1,90.0,top
SW1,95.0,13.8334,90.0,top
SW10,15.1846,70.4326,270.0,top
SW11,15.1846,63.2912,270.0,top
SW2,95.0,20.9962,90.0,top
SW3,95.0,28.1684,90.0,top
SW4,95.0,35.35,90.0,top
SW5,65.0792,93.8154,180.0,top
SW6,15.1846,77.5152,270.0,top
SW7,86.4388,93.8058,180.0,top
SW8,51.375,62.2044,0.0,top
SW9,75.206,93.802,180.0,top
U1,50.95,38.2188,90.0,top
U3,9.4525,14.1,90.0,top
U4,21.85,34.7,180.0,top
U5,20.275,25.9,180.0,top
U6,76.6764,66.4972,180.0,top
U7,17.15,5.3,90.0,top
U8,51.2,86.0375,180.0,top
Y1,67.835,30.7988,270.0,top
Y2,66.764,39.0492,270.0,top
